Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Behavior type,Time,Media file name,Image index,Image file path,Comment
Copy of Copy of Luka_ChristinaW video backup,2024-11-16 15:35:54.726,,1279.799,Media file(s),player #1:C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,0.0,1575.060,15.000,,Start,,T1,POINT,18.129,C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,272,NA,
Copy of Copy of Luka_ChristinaW video backup,2024-11-16 15:35:54.726,,1279.799,Media file(s),player #1:C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,0.0,1575.060,15.000,,interacting with tupperware,,,START,18.662,C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,280,NA,
Copy of Copy of Luka_ChristinaW video backup,2024-11-16 15:35:54.726,,1279.799,Media file(s),player #1:C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,0.0,1575.060,15.000,,interacting with tupperware,,,STOP,20.195,C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,303,NA,
Copy of Copy of Luka_ChristinaW video backup,2024-11-16 15:35:54.726,,1279.799,Media file(s),player #1:C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,0.0,1575.060,15.000,,interacting with tupperware,,,START,29.929,C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,449,NA,
Copy of Copy of Luka_ChristinaW video backup,2024-11-16 15:35:54.726,,1279.799,Media file(s),player #1:C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,0.0,1575.060,15.000,,interacting with tupperware,,,STOP,33.261,C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,499,NA,
Copy of Copy of Luka_ChristinaW video backup,2024-11-16 15:35:54.726,,1279.799,Media file(s),player #1:C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,0.0,1575.060,15.000,,looking at owner,,,POINT,37.661,C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,565,NA,
Copy of Copy of Luka_ChristinaW video backup,2024-11-16 15:35:54.726,,1279.799,Media file(s),player #1:C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,0.0,1575.060,15.000,,alternating gaze,,,POINT,39.395,C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,591,NA,
Copy of Copy of Luka_ChristinaW video backup,2024-11-16 15:35:54.726,,1279.799,Media file(s),player #1:C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,0.0,1575.060,15.000,,looking at owner,,,POINT,58.464,C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,877,NA,
Copy of Copy of Luka_ChristinaW video backup,2024-11-16 15:35:54.726,,1279.799,Media file(s),player #1:C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,0.0,1575.060,15.000,,interacting with tupperware,,,START,72.261,C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,1084,NA,
Copy of Copy of Luka_ChristinaW video backup,2024-11-16 15:35:54.726,,1279.799,Media file(s),player #1:C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,0.0,1575.060,15.000,,interacting with tupperware,,,STOP,73.599,C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,1104,NA,
Copy of Copy of Luka_ChristinaW video backup,2024-11-16 15:35:54.726,,1279.799,Media file(s),player #1:C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,0.0,1575.060,15.000,,looking at owner,,,POINT,75.332,C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,1130,NA,
Copy of Copy of Luka_ChristinaW video backup,2024-11-16 15:35:54.726,,1279.799,Media file(s),player #1:C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,0.0,1575.060,15.000,,looking at owner,,,POINT,79.528,C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,1193,NA,
Copy of Copy of Luka_ChristinaW video backup,2024-11-16 15:35:54.726,,1279.799,Media file(s),player #1:C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,0.0,1575.060,15.000,,nudging/scratching/paw owner,,,POINT,80.132,C:/Users/gogue/Desktop/Dog_Coding/Luka/Copy of Copy of Luka_ChristinaW video backup.mp4,1202,NA,
