Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,alternating gaze,Not defined,,STATE,134.262,138.663,4.401,VIDEO\Waffle.MOV,4026,4158,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,looking at the tupperware,Not defined,,POINT,134.262,134.262,NA,VIDEO\Waffle.MOV,4026,4026,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,looking at owner,Not defined,,POINT,135.262,135.262,NA,VIDEO\Waffle.MOV,4056,4056,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,looking at the tupperware,Not defined,,POINT,135.963,135.963,NA,VIDEO\Waffle.MOV,4077,4077,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,looking at owner,Not defined,,POINT,136.697,136.697,NA,VIDEO\Waffle.MOV,4099,4099,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,looking at owner,Not defined,,POINT,153.470,153.470,NA,VIDEO\Waffle.MOV,4602,4602,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,looking at owner,Not defined,,POINT,159.940,159.940,NA,VIDEO\Waffle.MOV,4796,4796,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,bark/whine vocalization,Not defined,,POINT,162.842,162.842,NA,VIDEO\Waffle.MOV,4883,4883,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,looking at the tupperware,Not defined,,POINT,175.948,175.948,NA,VIDEO\Waffle.MOV,5276,5276,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,bark/whine vocalization,Not defined,,POINT,177.615,177.615,NA,VIDEO\Waffle.MOV,5326,5326,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,looking at owner,Not defined,,POINT,178.983,178.983,NA,VIDEO\Waffle.MOV,5367,5367,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,bark/whine vocalization,Not defined,,POINT,192.455,192.455,NA,VIDEO\Waffle.MOV,5771,5771,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,End,Not defined,T1,POINT,204.027,204.027,NA,VIDEO\Waffle.MOV,6118,6118,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,Start,Not defined,T2,POINT,260.620,260.620,NA,VIDEO\Waffle.MOV,7815,7815,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,looking at the tupperware,Not defined,,POINT,260.620,260.620,NA,VIDEO\Waffle.MOV,7815,7815,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,interacting with tupperware,Not defined,,STATE,261.553,262.855,1.302,VIDEO\Waffle.MOV,7843,7882,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,interacting with tupperware,Not defined,,STATE,263.855,267.923,4.068,VIDEO\Waffle.MOV,7912,8034,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,interacting with tupperware,Not defined,,STATE,271.292,273.960,2.668,VIDEO\Waffle.MOV,8135,8215,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,looking at owner,Not defined,,POINT,276.695,276.695,NA,VIDEO\Waffle.MOV,8298,8298,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,soundboard press,Not defined,,POINT,285.632,285.632,NA,VIDEO\Waffle.MOV,8565,8565,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,soundboard press,Not defined,,POINT,286.198,286.198,NA,VIDEO\Waffle.MOV,8582,8582,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,looking at owner,Not defined,,POINT,290.100,290.100,NA,VIDEO\Waffle.MOV,8699,8699,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,bark/whine vocalization,Not defined,,POINT,301.940,301.940,NA,VIDEO\Waffle.MOV,9054,9054,,,,
