Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,Start,Not defined,T1,POINT,33.718,33.718,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,1011,1011,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,35.118,40.055,4.937,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,1053,1201,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,41.188,43.423,2.235,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,1235,1302,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,alternating gaze,Not defined,,STATE,44.523,51.362,6.839,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,1335,1540,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,44.523,48.360,3.837,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,1335,1450,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at owner,Not defined,,POINT,49.327,49.327,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,1479,1479,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at the tupperware,Not defined,,POINT,51.328,51.328,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,1539,1539,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,53.762,58.132,4.370,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,1612,1743,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,59.765,66.435,6.670,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,1792,1992,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,77.408,78.742,1.334,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,2321,2361,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,80.910,81.543,0.633,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,2426,2445,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,84.212,86.980,2.768,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,2525,2608,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at owner,Not defined,,POINT,97.152,97.152,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,2913,2913,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at owner,Not defined,,POINT,115.762,115.762,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,3471,3471,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,alternating gaze,Not defined,,STATE,122.800,139.108,16.308,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,3682,4171,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at the tupperware,Not defined,,POINT,122.800,122.800,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,3682,3682,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at owner,Not defined,,POINT,124.000,124.000,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,3718,3718,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at the tupperware,Not defined,,POINT,129.303,129.303,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,3877,3877,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at owner,Not defined,,POINT,130.937,130.937,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,3926,3926,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at owner,Not defined,,POINT,144.812,144.812,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,4342,4342,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,soundboard press,Not defined,,POINT,145.878,145.878,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,4374,4374,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,soundboard press,Not defined,,POINT,146.712,146.712,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,4399,4399,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,soundboard press,Not defined,,POINT,147.547,147.547,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,4424,4424,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,soundboard press,Not defined,,POINT,148.113,148.113,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,4441,4441,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at owner,Not defined,,POINT,148.847,148.847,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,4463,4463,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at owner,Not defined,,POINT,198.273,198.273,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,5945,5945,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at owner,Not defined,,POINT,202.542,202.542,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,6073,6073,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,alternating gaze,Not defined,,STATE,202.542,204.610,2.068,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,6073,6135,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at the tupperware,Not defined,,POINT,203.243,203.243,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,6094,6094,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at owner,Not defined,,POINT,203.943,203.943,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,6115,6115,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at owner,Not defined,,POINT,206.378,206.378,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,6188,6188,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,End,Not defined,T1,POINT,213.715,213.715,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,6408,6408,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,Start,Not defined,T2,POINT,278.850,278.850,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,8361,8361,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,279.150,284.387,5.237,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,8370,8527,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,285.353,289.790,4.437,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,8557,8689,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,291.423,296.527,5.104,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,8738,8891,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,alternating gaze,Not defined,,STATE,297.027,300.595,3.568,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,8906,9013,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at the tupperware,Not defined,,POINT,297.760,297.760,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,8928,8928,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at owner,Not defined,,POINT,299.995,299.995,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,8995,8995,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at the tupperware,Not defined,,POINT,300.562,300.562,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,9012,9012,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,306.532,311.735,5.203,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,9191,9347,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,312.868,313.002,0.134,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,9381,9385,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,314.135,318.038,3.903,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,9419,9536,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,319.438,320.572,1.134,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,9578,9611,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,321.307,329.843,8.536,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,9634,9889,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,333.280,335.080,1.800,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,9993,10046,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,344.185,368.265,24.080,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,10320,11041,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,371.500,376.770,5.270,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,11138,11296,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,bark/whine vocalization,Not defined,,POINT,381.438,381.438,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,11436,11436,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,alternating gaze,Not defined,,STATE,436.402,443.872,7.470,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,13084,13308,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at the tupperware,Not defined,,POINT,436.402,436.402,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,13084,13084,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at owner,Not defined,,POINT,437.935,437.935,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,13130,13130,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at the tupperware,Not defined,,POINT,442.272,442.272,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,13260,13260,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at owner,Not defined,,POINT,450.508,450.508,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,13507,13507,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,End,Not defined,T2,POINT,458.847,458.847,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,13757,13757,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,Start,Not defined,T3,POINT,515.845,515.845,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,15466,15466,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,515.845,516.445,0.600,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,15466,15484,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,518.645,518.913,0.268,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,15550,15558,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,519.680,519.780,0.100,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,15581,15584,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,520.547,521.313,0.766,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,15607,15630,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,526.017,527.350,1.333,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,15771,15811,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,528.952,531.253,2.301,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,15859,15928,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,533.553,567.605,34.052,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,15997,17018,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,570.740,572.642,1.902,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,17112,17169,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,575.243,578.612,3.369,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,17247,17348,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,580.112,582.213,2.101,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,17393,17456,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,590.050,604.858,14.808,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,17691,18135,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at owner,Not defined,,POINT,605.425,605.425,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,18152,18152,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at owner,Not defined,,POINT,608.695,608.695,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,18250,18250,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at owner,Not defined,,POINT,625.503,625.503,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,18754,18754,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at owner,Not defined,,POINT,629.805,629.805,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,18884,18884,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,looking at owner,Not defined,,POINT,635.742,635.742,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,19061,19061,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,End,Not defined,T3,POINT,695.842,695.842,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,20863,20863,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,Start,Not defined,T4,POINT,749.470,749.470,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,22471,22471,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,749.872,750.172,0.300,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,22483,22492,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,750.472,750.705,0.233,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,22501,22508,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,751.205,754.640,3.435,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,22523,22626,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,759.510,780.490,20.980,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,22772,23401,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,782.892,789.162,6.270,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,23473,23661,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,790.995,793.998,3.003,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,23716,23806,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,795.732,797.367,1.635,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,23858,23907,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,799.033,800.902,1.869,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,23957,24013,,,,
Remi,2024-12-25 15:32:16.250,,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0.0,1133.704,1183.430,29.970,No focal subject,275.798,interacting with tupperware,Not defined,,STATE,802.837,803.137,0.300,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,24071,24080,,,,
