Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Original_BehaviorType,Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop,Time,Behavior type,Stop (s).x
Dewey,2024-12-25T19:49:30Z,NA,Media file,player #1:VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,0,1079.657,1156.293,30,No focal subject,48.667,interacting with tupperware,Not defined,NA,STATE,VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,1504,1565,NA,NA,NA,NA,50.137,START,NA
Dewey,2024-12-25T19:49:30Z,NA,Media file,player #1:VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,0,1079.657,1156.293,30,No focal subject,48.667,interacting with tupperware,Not defined,NA,STATE,VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,1504,1565,NA,NA,NA,NA,52.17,STOP,NA
Dewey,2024-12-25T19:49:30Z,NA,Media file,player #1:VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,0,1079.657,1156.293,30,No focal subject,48.667,interacting with tupperware,Not defined,NA,STATE,VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,1651,1667,NA,NA,NA,NA,55.037,START,NA
Dewey,2024-12-25T19:49:30Z,NA,Media file,player #1:VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,0,1079.657,1156.293,30,No focal subject,48.667,interacting with tupperware,Not defined,NA,STATE,VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,1651,1667,NA,NA,NA,NA,55.57,STOP,NA
Dewey,2024-12-25T19:49:30Z,NA,Media file,player #1:VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,0,1079.657,1156.293,30,No focal subject,48.667,looking at owner,Not defined,NA,NA,VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,1715,1715,NA,NA,NA,NA,57.17,POINT,57.17
Dewey,2024-12-25T19:49:30Z,NA,Media file,player #1:VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,0,1079.657,1156.293,30,No focal subject,48.667,looking at owner,Not defined,NA,NA,VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,2348,2348,NA,NA,NA,NA,78.237,POINT,78.237
Dewey,2024-12-25T19:49:30Z,NA,Media file,player #1:VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,0,1079.657,1156.293,30,No focal subject,48.667,looking at owner,Not defined,NA,NA,VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,2473,2473,NA,NA,NA,NA,82.438,POINT,82.438
Dewey,2024-12-25T19:49:30Z,NA,Media file,player #1:VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,0,1079.657,1156.293,30,No focal subject,48.667,looking at owner,Not defined,NA,NA,VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,2539,2539,NA,NA,NA,NA,84.638,POINT,84.638
Dewey,2024-12-25T19:49:30Z,NA,Media file,player #1:VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,0,1079.657,1156.293,30,No focal subject,48.667,looking at owner,Not defined,NA,NA,VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,2611,2611,NA,NA,NA,NA,87.038,POINT,87.038
Dewey,2024-12-25T19:49:30Z,NA,Media file,player #1:VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,0,1079.657,1156.293,30,No focal subject,48.667,looking at owner,Not defined,NA,NA,VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,3420,3420,NA,NA,NA,NA,114.007,POINT,114.007
Dewey,2024-12-25T19:49:30Z,NA,Media file,player #1:VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,0,1079.657,1156.293,30,No focal subject,48.667,looking at owner,Not defined,NA,NA,VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,3892,3892,NA,NA,NA,NA,129.74,POINT,129.74
Dewey,2024-12-25T19:49:30Z,NA,Media file,player #1:VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,0,1079.657,1156.293,30,No focal subject,48.667,looking at owner,Not defined,NA,NA,VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,4053,4053,NA,NA,NA,NA,135.107,POINT,135.107
Dewey,2024-12-25T19:49:30Z,NA,Media file,player #1:VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,0,1079.657,1156.293,30,No focal subject,48.667,looking at owner,Not defined,NA,NA,VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,4410,4410,NA,NA,NA,NA,147.008,POINT,147.008
Dewey,2024-12-25T19:49:30Z,NA,Media file,player #1:VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,0,1079.657,1156.293,30,No focal subject,48.667,looking at owner,Not defined,NA,NA,VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,5343,5343,NA,NA,NA,NA,178.11,POINT,178.11
Dewey,2024-12-25T19:49:30Z,NA,Media file,player #1:VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,0,1079.657,1156.293,30,No focal subject,48.667,looking at owner,Not defined,NA,NA,VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,5979,5979,NA,NA,NA,NA,199.31,POINT,199.31
Dewey,2024-12-25T19:49:30Z,NA,Media file,player #1:VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,0,1079.657,1156.293,30,No focal subject,48.667,interacting with tupperware,Not defined,NA,STATE,VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,9333,9449,NA,NA,NA,NA,311.117,START,NA
Dewey,2024-12-25T19:49:30Z,NA,Media file,player #1:VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,0,1079.657,1156.293,30,No focal subject,48.667,interacting with tupperware,Not defined,NA,STATE,VIDEO\2022-09-05_ImpossibleTask_Dewey_Camera1.MOV,9333,9449,NA,NA,NA,NA,314.983,STOP,NA
