Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Original_BehaviorType,Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop,Time,Behavior type,Stop (s).x
Poppy,2024-12-25T17:40:01Z,NA,Media file,player #1:VIDEO\20220710_ImpossibleTask_Poppy_Camera1.mp4,0,1402.475,1480.342,29.97,No focal subject,171.025,interacting with tupperware,Not defined,NA,STATE,VIDEO\20220710_ImpossibleTask_Poppy_Camera1.mp4,15657,16050,NA,NA,NA,NA,535.886,STOP,NA
Poppy,2024-12-25T17:40:01Z,NA,Media file,player #1:VIDEO\20220710_ImpossibleTask_Poppy_Camera1.mp4,0,1402.475,1480.342,29.97,No focal subject,171.025,interacting with tupperware,Not defined,NA,STATE,VIDEO\20220710_ImpossibleTask_Poppy_Camera1.mp4,16149,16222,NA,NA,NA,NA,539.226,START,NA
Poppy,2024-12-25T17:40:01Z,NA,Media file,player #1:VIDEO\20220710_ImpossibleTask_Poppy_Camera1.mp4,0,1402.475,1480.342,29.97,No focal subject,171.025,interacting with tupperware,Not defined,NA,STATE,VIDEO\20220710_ImpossibleTask_Poppy_Camera1.mp4,16149,16222,NA,NA,NA,NA,541.663,STOP,NA
Poppy,2024-12-25T17:40:01Z,NA,Media file,player #1:VIDEO\20220710_ImpossibleTask_Poppy_Camera1.mp4,0,1402.475,1480.342,29.97,No focal subject,171.025,interacting with tupperware,Not defined,NA,STATE,VIDEO\20220710_ImpossibleTask_Poppy_Camera1.mp4,16276,16437,NA,NA,NA,NA,543.466,START,NA
Poppy,2024-12-25T17:40:01Z,NA,Media file,player #1:VIDEO\20220710_ImpossibleTask_Poppy_Camera1.mp4,0,1402.475,1480.342,29.97,No focal subject,171.025,interacting with tupperware,Not defined,NA,STATE,VIDEO\20220710_ImpossibleTask_Poppy_Camera1.mp4,16276,16437,NA,NA,NA,NA,548.842,STOP,NA
Poppy,2024-12-25T17:40:01Z,NA,Media file,player #1:VIDEO\20220710_ImpossibleTask_Poppy_Camera1.mp4,0,1402.475,1480.342,29.97,No focal subject,171.025,interacting with tupperware,Not defined,NA,STATE,VIDEO\20220710_ImpossibleTask_Poppy_Camera1.mp4,16614,16803,NA,NA,NA,NA,554.752,START,NA
Poppy,2024-12-25T17:40:01Z,NA,Media file,player #1:VIDEO\20220710_ImpossibleTask_Poppy_Camera1.mp4,0,1402.475,1480.342,29.97,No focal subject,171.025,interacting with tupperware,Not defined,NA,STATE,VIDEO\20220710_ImpossibleTask_Poppy_Camera1.mp4,16614,16803,NA,NA,NA,NA,561.063,STOP,NA
Poppy,2024-12-25T17:40:01Z,NA,Media file,player #1:VIDEO\20220710_ImpossibleTask_Poppy_Camera1.mp4,0,1402.475,1480.342,29.97,No focal subject,171.025,interacting with tupperware,Not defined,NA,STATE,VIDEO\20220710_ImpossibleTask_Poppy_Camera1.mp4,16924,17109,NA,NA,NA,NA,565.103,START,NA
Poppy,2024-12-25T17:40:01Z,NA,Media file,player #1:VIDEO\20220710_ImpossibleTask_Poppy_Camera1.mp4,0,1402.475,1480.342,29.97,No focal subject,171.025,interacting with tupperware,Not defined,NA,STATE,VIDEO\20220710_ImpossibleTask_Poppy_Camera1.mp4,16924,17109,NA,NA,NA,NA,571.281,STOP,NA
Poppy,2024-12-25T17:40:01Z,NA,Media file,player #1:VIDEO\20220710_ImpossibleTask_Poppy_Camera1.mp4,0,1402.475,1480.342,29.97,No focal subject,171.025,interacting with tupperware,Not defined,NA,STATE,VIDEO\20220710_ImpossibleTask_Poppy_Camera1.mp4,18741,19111,NA,NA,NA,NA,625.774,START,NA
