Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
Mokai,2024-12-25 19:04:00.992,,Media file,player #1:VIDEO\Mokai.mp4,0.0,1126.433,1246.048,30.000,No focal subject,138.781,Start,Not defined,T1,POINT,25.470,25.470,NA,VIDEO\Mokai.mp4,764,764,,,,
Mokai,2024-12-25 19:04:00.992,,Media file,player #1:VIDEO\Mokai.mp4,0.0,1126.433,1246.048,30.000,No focal subject,138.781,interacting with tupperware,Not defined,,STATE,25.470,25.870,0.400,VIDEO\Mokai.mp4,764,776,,,,
Mokai,2024-12-25 19:04:00.992,,Media file,player #1:VIDEO\Mokai.mp4,0.0,1126.433,1246.048,30.000,No focal subject,138.781,looking at owner,Not defined,,POINT,26.270,26.270,NA,VIDEO\Mokai.mp4,788,788,,,,
Mokai,2024-12-25 19:04:00.992,,Media file,player #1:VIDEO\Mokai.mp4,0.0,1126.433,1246.048,30.000,No focal subject,138.781,interacting with tupperware,Not defined,,STATE,27.803,27.937,0.134,VIDEO\Mokai.mp4,834,838,,,,
Mokai,2024-12-25 19:04:00.992,,Media file,player #1:VIDEO\Mokai.mp4,0.0,1126.433,1246.048,30.000,No focal subject,138.781,looking at owner,Not defined,,POINT,28.905,28.905,NA,VIDEO\Mokai.mp4,867,867,,,,
Mokai,2024-12-25 19:04:00.992,,Media file,player #1:VIDEO\Mokai.mp4,0.0,1126.433,1246.048,30.000,No focal subject,138.781,looking at owner,Not defined,,POINT,29.938,29.938,NA,VIDEO\Mokai.mp4,898,898,,,,
Mokai,2024-12-25 19:04:00.992,,Media file,player #1:VIDEO\Mokai.mp4,0.0,1126.433,1246.048,30.000,No focal subject,138.781,positioning in front of owner,Not defined,,POINT,34.372,34.372,NA,VIDEO\Mokai.mp4,1031,1031,,,,
Mokai,2024-12-25 19:04:00.992,,Media file,player #1:VIDEO\Mokai.mp4,0.0,1126.433,1246.048,30.000,No focal subject,138.781,looking at owner,Not defined,,POINT,36.272,36.272,NA,VIDEO\Mokai.mp4,1088,1088,,,,
Mokai,2024-12-25 19:04:00.992,,Media file,player #1:VIDEO\Mokai.mp4,0.0,1126.433,1246.048,30.000,No focal subject,138.781,soundboard press,Not defined,,POINT,36.372,36.372,NA,VIDEO\Mokai.mp4,1091,1091,,,,
Mokai,2024-12-25 19:04:00.992,,Media file,player #1:VIDEO\Mokai.mp4,0.0,1126.433,1246.048,30.000,No focal subject,138.781,looking at owner,Not defined,,POINT,41.207,41.207,NA,VIDEO\Mokai.mp4,1236,1236,,,,
Mokai,2024-12-25 19:04:00.992,,Media file,player #1:VIDEO\Mokai.mp4,0.0,1126.433,1246.048,30.000,No focal subject,138.781,alternating gaze,Not defined,,STATE,41.207,46.673,5.466,VIDEO\Mokai.mp4,1236,1400,,,,
Mokai,2024-12-25 19:04:00.992,,Media file,player #1:VIDEO\Mokai.mp4,0.0,1126.433,1246.048,30.000,No focal subject,138.781,looking at the tupperware,Not defined,,POINT,42.773,42.773,NA,VIDEO\Mokai.mp4,1283,1283,,,,
Mokai,2024-12-25 19:04:00.992,,Media file,player #1:VIDEO\Mokai.mp4,0.0,1126.433,1246.048,30.000,No focal subject,138.781,looking at owner,Not defined,,POINT,44.907,44.907,NA,VIDEO\Mokai.mp4,1347,1347,,,,
Mokai,2024-12-25 19:04:00.992,,Media file,player #1:VIDEO\Mokai.mp4,0.0,1126.433,1246.048,30.000,No focal subject,138.781,looking at the tupperware,Not defined,,POINT,45.207,45.207,NA,VIDEO\Mokai.mp4,1356,1356,,,,
Mokai,2024-12-25 19:04:00.992,,Media file,player #1:VIDEO\Mokai.mp4,0.0,1126.433,1246.048,30.000,No focal subject,138.781,interacting with tupperware,Not defined,,STATE,47.073,47.573,0.500,VIDEO\Mokai.mp4,1412,1427,,,,
