Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Original_BehaviorType,Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop,Time,Behavior type,Stop (s).x
Remi,2024-12-25T15:32:16Z,NA,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0,1133.704,1183.43,29.97,No focal subject,275.798,interacting with tupperware,Not defined,NA,STATE,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,1053,1201,NA,NA,NA,NA,35.118,START,NA
Remi,2024-12-25T15:32:16Z,NA,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0,1133.704,1183.43,29.97,No focal subject,275.798,interacting with tupperware,Not defined,NA,STATE,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,1053,1201,NA,NA,NA,NA,40.055,STOP,NA
Remi,2024-12-25T15:32:16Z,NA,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0,1133.704,1183.43,29.97,No focal subject,275.798,interacting with tupperware,Not defined,NA,STATE,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,1235,1302,NA,NA,NA,NA,41.188,START,NA
Remi,2024-12-25T15:32:16Z,NA,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0,1133.704,1183.43,29.97,No focal subject,275.798,interacting with tupperware,Not defined,NA,STATE,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,1235,1302,NA,NA,NA,NA,43.423,STOP,NA
Remi,2024-12-25T15:32:16Z,NA,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0,1133.704,1183.43,29.97,No focal subject,275.798,interacting with tupperware,Not defined,NA,STATE,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,1335,1450,NA,NA,NA,NA,44.523,START,NA
Remi,2024-12-25T15:32:16Z,NA,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0,1133.704,1183.43,29.97,No focal subject,275.798,alternating gaze,Not defined,NA,NA,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,1335,1540,NA,NA,NA,NA,44.523,POINT,NA
Remi,2024-12-25T15:32:16Z,NA,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0,1133.704,1183.43,29.97,No focal subject,275.798,interacting with tupperware,Not defined,NA,STATE,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,1335,1450,NA,NA,NA,NA,48.36,STOP,NA
Remi,2024-12-25T15:32:16Z,NA,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0,1133.704,1183.43,29.97,No focal subject,275.798,interacting with tupperware,Not defined,NA,STATE,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,1612,1743,NA,NA,NA,NA,53.762,START,NA
Remi,2024-12-25T15:32:16Z,NA,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0,1133.704,1183.43,29.97,No focal subject,275.798,interacting with tupperware,Not defined,NA,STATE,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,1612,1743,NA,NA,NA,NA,58.132,STOP,NA
Remi,2024-12-25T15:32:16Z,NA,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0,1133.704,1183.43,29.97,No focal subject,275.798,interacting with tupperware,Not defined,NA,STATE,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,1792,1992,NA,NA,NA,NA,59.765,START,NA
Remi,2024-12-25T15:32:16Z,NA,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0,1133.704,1183.43,29.97,No focal subject,275.798,interacting with tupperware,Not defined,NA,STATE,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,1792,1992,NA,NA,NA,NA,66.435,STOP,NA
Remi,2024-12-25T15:32:16Z,NA,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0,1133.704,1183.43,29.97,No focal subject,275.798,interacting with tupperware,Not defined,NA,STATE,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,2321,2361,NA,NA,NA,NA,77.408,START,NA
Remi,2024-12-25T15:32:16Z,NA,Media file,player #1:VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,0,1133.704,1183.43,29.97,No focal subject,275.798,interacting with tupperware,Not defined,NA,STATE,VIDEO\20220623_ImpossibleTask_Remi_Camera1.MOV,2321,2361,NA,NA,NA,NA,78.742,STOP,NA
