Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Original_BehaviorType,Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop,Time,Behavior type,Stop (s).x
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,3040,3230,NA,NA,NA,NA,107.717,STOP,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,looking at owner,Not defined,NA,NA,VIDEO\Waffle.MOV,3247,3247,NA,NA,NA,NA,108.283,POINT,108.283
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,looking at owner,Not defined,NA,NA,VIDEO\Waffle.MOV,3544,3544,NA,NA,NA,NA,118.188,POINT,118.188
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,looking at owner,Not defined,NA,NA,VIDEO\Waffle.MOV,3602,3602,NA,NA,NA,NA,120.122,POINT,120.122
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,alternating gaze,Not defined,NA,NA,VIDEO\Waffle.MOV,4026,4158,NA,NA,NA,NA,134.262,POINT,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,looking at owner,Not defined,NA,NA,VIDEO\Waffle.MOV,4602,4602,NA,NA,NA,NA,153.47,POINT,153.47
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,looking at owner,Not defined,NA,NA,VIDEO\Waffle.MOV,4796,4796,NA,NA,NA,NA,159.94,POINT,159.94
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,looking at owner,Not defined,NA,NA,VIDEO\Waffle.MOV,5367,5367,NA,NA,NA,NA,178.983,POINT,178.983
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,7843,7882,NA,NA,NA,NA,261.553,START,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,7843,7882,NA,NA,NA,NA,262.855,STOP,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,7912,8034,NA,NA,NA,NA,263.855,START,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,7912,8034,NA,NA,NA,NA,267.923,STOP,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,8135,8215,NA,NA,NA,NA,271.292,START,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,8135,8215,NA,NA,NA,NA,273.96,STOP,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,looking at owner,Not defined,NA,NA,VIDEO\Waffle.MOV,8298,8298,NA,NA,NA,NA,276.695,POINT,276.695
