Observation id,Behavior,Behavior type,Start (s),Stop (s),coder
ImpossibleTask,interacting with tupperware,STATE,44.012,45.213,Amanda
ImpossibleTask,interacting with tupperware,STATE,45.882,47.35,Amanda
ImpossibleTask,looking at owner,POINT,48.117,48.117,Amanda
ImpossibleTask,alternating gaze,POINT,54.29,54.29,Amanda
ImpossibleTask,interacting with tupperware,STATE,56.292,57.827,Amanda
ImpossibleTask,looking at owner,POINT,60.797,60.797,Amanda
ImpossibleTask,looking at owner,POINT,62.832,62.832,Amanda
ImpossibleTask,alternating gaze,POINT,67.67,67.67,Amanda
ImpossibleTask,looking at owner,POINT,72.508,72.508,Amanda
ImpossibleTask,looking at owner,POINT,79.65,79.65,Amanda
ImpossibleTask,looking at owner,POINT,81.852,81.852,Amanda
ImpossibleTask,looking at owner,POINT,117.255,117.255,Amanda
ImpossibleTask,looking at owner,POINT,119.123,119.123,Amanda
ImpossibleTask,looking at owner,POINT,122.393,122.393,Amanda
ImpossibleTask,looking at owner,POINT,141.547,141.547,Amanda
ImpossibleTask,looking at owner,POINT,190.732,190.732,Amanda
ImpossibleTask,looking at owner,POINT,194.302,194.302,Amanda
ImpossibleTask,End,POINT,224.032,224.032,Amanda
ImpossibleTask,Start,POINT,278.355,278.355,Amanda
ImpossibleTask,interacting with tupperware,STATE,278.388,281.058,Amanda
ImpossibleTask,alternating gaze,POINT,281.692,281.692,Amanda
ImpossibleTask,interacting with tupperware,STATE,285.83,286.163,Amanda
ImpossibleTask,interacting with tupperware,STATE,286.297,286.765,Amanda
ImpossibleTask,interacting with tupperware,STATE,286.965,287.098,Amanda
ImpossibleTask,interacting with tupperware,STATE,287.165,288.265,Amanda
ImpossibleTask,interacting with tupperware,STATE,289.033,289.867,Amanda
ImpossibleTask,interacting with tupperware,STATE,290.935,292.103,Amanda
ImpossibleTask,looking at owner,POINT,295.707,295.707,Amanda
ImpossibleTask,alternating gaze,POINT,296.34,296.34,Amanda
ImpossibleTask,interacting with tupperware,STATE,297.675,299.243,Amanda
ImpossibleTask,looking at owner,POINT,301.913,301.913,Amanda
ImpossibleTask,looking at owner,POINT,305.583,305.583,Amanda
ImpossibleTask,looking at owner,POINT,310.155,310.155,Amanda
ImpossibleTask,looking at owner,POINT,314.56,314.56,Amanda
ImpossibleTask,alternating gaze,POINT,323.502,323.502,Amanda
ImpossibleTask,looking at owner,POINT,347.76,347.76,Amanda
ImpossibleTask,End,POINT,458.375,458.375,Amanda
ImpossibleTask,Start,POINT,523.11,523.11,Amanda
ImpossibleTask,interacting with tupperware,STATE,523.377,525.912,Amanda
ImpossibleTask,interacting with tupperware,STATE,527.113,527.247,Amanda
ImpossibleTask,interacting with tupperware,STATE,527.915,528.282,Amanda
ImpossibleTask,interacting with tupperware,STATE,528.782,530.517,Amanda
ImpossibleTask,interacting with tupperware,STATE,530.65,532.518,Amanda
ImpossibleTask,interacting with tupperware,STATE,533.087,533.153,Amanda
ImpossibleTask,interacting with tupperware,STATE,533.22,533.42,Amanda
ImpossibleTask,interacting with tupperware,STATE,534.488,535.222,Amanda
ImpossibleTask,looking at owner,POINT,537.758,537.758,Amanda
ImpossibleTask,looking at owner,POINT,540.56,540.56,Amanda
ImpossibleTask,looking at owner,POINT,542.83,542.83,Amanda
ImpossibleTask,alternating gaze,POINT,543.597,543.597,Amanda
ImpossibleTask,interacting with tupperware,STATE,545.533,546.233,Amanda
ImpossibleTask,interacting with tupperware,STATE,546.7,548.435,Amanda
ImpossibleTask,interacting with tupperware,STATE,548.468,548.67,Amanda
ImpossibleTask,looking at owner,POINT,552.773,552.773,Amanda
ImpossibleTask,looking at owner,POINT,556.643,556.643,Amanda
ImpossibleTask,looking at owner,POINT,564.185,564.185,Amanda
ImpossibleTask,alternating gaze,POINT,564.72,564.72,Amanda
ImpossibleTask,interacting with tupperware,STATE,565.753,565.853,Amanda
ImpossibleTask,interacting with tupperware,STATE,566.22,567.322,Amanda
ImpossibleTask,interacting with tupperware,STATE,567.722,568.057,Amanda
ImpossibleTask,alternating gaze,POINT,568.457,568.457,Amanda
ImpossibleTask,looking at owner,POINT,569.692,569.692,Amanda
ImpossibleTask,looking at owner,POINT,605.528,605.528,Amanda
ImpossibleTask,looking at owner,POINT,652.743,652.743,Amanda
ImpossibleTask,End,POINT,703.13,703.13,Amanda
ImpossibleTask,Start,POINT,747.91,747.91,Amanda
ImpossibleTask,interacting with tupperware,STATE,748.243,748.61,Amanda
ImpossibleTask,interacting with tupperware,STATE,750.345,750.478,Amanda
ImpossibleTask,interacting with tupperware,STATE,750.578,750.945,Amanda
ImpossibleTask,interacting with tupperware,STATE,751.113,754.115,Amanda
ImpossibleTask,interacting with tupperware,STATE,754.248,754.783,Amanda
ImpossibleTask,interacting with tupperware,STATE,754.95,755.017,Amanda
ImpossibleTask,interacting with tupperware,STATE,755.65,755.817,Amanda
ImpossibleTask,interacting with tupperware,STATE,756.652,758.02,Amanda
ImpossibleTask,interacting with tupperware,STATE,760.622,761.79,Amanda
ImpossibleTask,interacting with tupperware,STATE,762.123,762.257,Amanda
ImpossibleTask,looking at owner,POINT,764.727,764.727,Amanda
ImpossibleTask,interacting with tupperware,STATE,770.298,773.468,Amanda
ImpossibleTask,interacting with tupperware,STATE,773.737,773.903,Amanda
ImpossibleTask,interacting with tupperware,STATE,774.103,774.403,Amanda
ImpossibleTask,interacting with tupperware,STATE,774.57,774.837,Amanda
ImpossibleTask,looking at owner,POINT,776.738,776.738,Amanda
ImpossibleTask,looking at owner,POINT,788.152,788.152,Amanda
ImpossibleTask,alternating gaze,POINT,791.12,791.12,Amanda
ImpossibleTask,looking at owner,POINT,816.28,816.28,Amanda
ImpossibleTask,End,POINT,927.93,927.93,Amanda
ImpossibleTask,Start,POINT,998.168,998.168,Amanda
ImpossibleTask,interacting with tupperware,STATE,998.202,998.402,Amanda
ImpossibleTask,interacting with tupperware,STATE,998.77,999.27,Amanda
ImpossibleTask,interacting with tupperware,STATE,999.803,1000.172,Amanda
ImpossibleTask,interacting with tupperware,STATE,1000.338,1001.238,Amanda
ImpossibleTask,interacting with tupperware,STATE,1001.907,1002.773,Amanda
ImpossibleTask,interacting with tupperware,STATE,1003.575,1004.342,Amanda
ImpossibleTask,interacting with tupperware,STATE,1004.608,1010.882,Amanda
ImpossibleTask,interacting with tupperware,STATE,1011.248,1011.617,Amanda
ImpossibleTask,interacting with tupperware,STATE,1012.35,1012.783,Amanda
ImpossibleTask,interacting with tupperware,STATE,1013.352,1013.552,Amanda
ImpossibleTask,interacting with tupperware,STATE,1013.918,1014.452,Amanda
ImpossibleTask,interacting with tupperware,STATE,1014.953,1015.12,Amanda
ImpossibleTask,alternating gaze,POINT,1022.527,1022.527,Amanda
ImpossibleTask,interacting with tupperware,STATE,1024.597,1024.997,Amanda
ImpossibleTask,interacting with tupperware,STATE,1025.33,1025.53,Amanda
ImpossibleTask,interacting with tupperware,STATE,1025.797,1026.298,Amanda
ImpossibleTask,interacting with tupperware,STATE,1027.198,1027.567,Amanda
ImpossibleTask,interacting with tupperware,STATE,1027.967,1028.633,Amanda
ImpossibleTask,interacting with tupperware,STATE,1028.967,1029.635,Amanda
ImpossibleTask,alternating gaze,POINT,1029.902,1029.902,Amanda
ImpossibleTask,interacting with tupperware,STATE,1031.47,1031.77,Amanda
ImpossibleTask,interacting with tupperware,STATE,1031.937,1032.17,Amanda
ImpossibleTask,interacting with tupperware,STATE,1032.705,1033.038,Amanda
ImpossibleTask,interacting with tupperware,STATE,1034.44,1035.44,Amanda
ImpossibleTask,interacting with tupperware,STATE,1037.077,1041.68,Amanda
ImpossibleTask,interacting with tupperware,STATE,1041.982,1042.182,Amanda
ImpossibleTask,interacting with tupperware,STATE,1042.448,1042.648,Amanda
ImpossibleTask,interacting with tupperware,STATE,1042.915,1043.082,Amanda
ImpossibleTask,interacting with tupperware,STATE,1043.415,1044.217,Amanda
ImpossibleTask,interacting with tupperware,STATE,1044.717,1047.02,Amanda
ImpossibleTask,interacting with tupperware,STATE,1047.42,1049.655,Amanda
ImpossibleTask,interacting with tupperware,STATE,1050.323,1050.757,Amanda
ImpossibleTask,interacting with tupperware,STATE,1050.857,1051.423,Amanda
ImpossibleTask,interacting with tupperware,STATE,1051.525,1052.792,Amanda
ImpossibleTask,interacting with tupperware,STATE,1053.293,1055.962,Amanda
ImpossibleTask,interacting with tupperware,STATE,1056.262,1056.397,Amanda
ImpossibleTask,interacting with tupperware,STATE,1056.997,1059.733,Amanda
ImpossibleTask,alternating gaze,POINT,1059.265,1059.265,Amanda
ImpossibleTask,interacting with tupperware,STATE,1060.6,1062.235,Amanda
ImpossibleTask,interacting with tupperware,STATE,1062.735,1063.303,Amanda
ImpossibleTask,interacting with tupperware,STATE,1063.803,1066.673,Amanda
ImpossibleTask,interacting with tupperware,STATE,1067.14,1075.182,Amanda
ImpossibleTask,interacting with tupperware,STATE,1075.617,1075.883,Amanda
ImpossibleTask,interacting with tupperware,STATE,1076.383,1077.017,Amanda
ImpossibleTask,interacting with tupperware,STATE,1077.518,1078.853,Amanda
ImpossibleTask,interacting with tupperware,STATE,1079.687,1084.025,Amanda
ImpossibleTask,interacting with tupperware,STATE,1084.792,1091.132,Amanda
ImpossibleTask,interacting with tupperware,STATE,1091.465,1099.34,Amanda
ImpossibleTask,interacting with tupperware,STATE,1100.108,1104.947,Amanda
ImpossibleTask,interacting with tupperware,STATE,1106.013,1113.588,Amanda
ImpossibleTask,interacting with tupperware,STATE,1114.257,1123.665,Amanda
ImpossibleTask,interacting with tupperware,STATE,1124.3,1133.877,Amanda
ImpossibleTask,interacting with tupperware,STATE,1135.878,1136.312,Amanda
ImpossibleTask,interacting with tupperware,STATE,1136.747,1137.38,Amanda
ImpossibleTask,interacting with tupperware,STATE,1137.747,1138.482,Amanda
ImpossibleTask,interacting with tupperware,STATE,1138.815,1140.983,Amanda
ImpossibleTask,interacting with tupperware,STATE,1141.15,1141.518,Amanda
ImpossibleTask,interacting with tupperware,STATE,1142.085,1142.285,Amanda
ImpossibleTask,interacting with tupperware,STATE,1142.418,1145.422,Amanda
ImpossibleTask,interacting with tupperware,STATE,1145.822,1146.823,Amanda
ImpossibleTask,interacting with tupperware,STATE,1147.357,1147.39,Amanda
ImpossibleTask,interacting with tupperware,STATE,1147.757,1148.258,Amanda
ImpossibleTask,interacting with tupperware,STATE,1149.56,1151.695,Amanda
ImpossibleTask,interacting with tupperware,STATE,1152.262,1152.395,Amanda
ImpossibleTask,interacting with tupperware,STATE,1152.462,1155.298,Amanda
ImpossibleTask,interacting with tupperware,STATE,1155.498,1155.598,Amanda
ImpossibleTask,interacting with tupperware,STATE,1155.933,1157.333,Amanda
ImpossibleTask,interacting with tupperware,STATE,1157.702,1162.507,Amanda
ImpossibleTask,interacting with tupperware,STATE,1162.54,1162.573,Amanda
ImpossibleTask,interacting with tupperware,STATE,1162.773,1163.74,Amanda
ImpossibleTask,interacting with tupperware,STATE,1164.242,1167.678,Amanda
ImpossibleTask,interacting with tupperware,STATE,1169.78,1178.155,Amanda
ImpossibleTask,End,POINT,1178.188,1178.188,Amanda
Cache,Start,POINT,46.247,46.247,Amanda
Cache,interacting with tupperware,STATE,47.019,52.187,Amanda
Cache,interacting with tupperware,STATE,52.355,53.597,Amanda
Cache,alternating gaze,POINT,59.605,59.605,Amanda
Cache,looking at owner,POINT,69.203,69.203,Amanda
Cache,alternating gaze,POINT,69.707,69.707,Amanda
Cache,looking at owner,POINT,72.425,72.425,Amanda
Cache,alternating gaze,POINT,73.667,73.667,Amanda
Cache,looking at owner,POINT,78.969,78.969,Amanda
Cache,looking at owner,POINT,83.802,83.802,Amanda
Cache,looking at owner,POINT,85.01,85.01,Amanda
Cache,looking at owner,POINT,90.38,90.38,Amanda
Cache,interacting with tupperware,STATE,110.987,111.424,Amanda
Cache,interacting with tupperware,STATE,111.625,111.927,Amanda
Cache,interacting with tupperware,STATE,112.095,112.733,Amanda
Cache,interacting with tupperware,STATE,114.713,115.082,Amanda
Cache,interacting with tupperware,STATE,115.182,115.619,Amanda
Cache,interacting with tupperware,STATE,115.686,116.659,Amanda
Cache,interacting with tupperware,STATE,116.827,120.586,Amanda
Cache,interacting with tupperware,STATE,122.566,123.002,Amanda
Cache,interacting with tupperware,STATE,123.103,124.781,Amanda
Cache,interacting with tupperware,STATE,124.882,126.593,Amanda
Cache,interacting with tupperware,STATE,127.298,127.801,Amanda
Cache,interacting with tupperware,STATE,128.103,132.198,Amanda
Cache,interacting with tupperware,STATE,132.6,133.137,Amanda
Cache,interacting with tupperware,STATE,133.272,133.674,Amanda
Cache,alternating gaze,POINT,134.178,134.178,Amanda
Cache,interacting with tupperware,STATE,136.158,136.426,Amanda
Cache,interacting with tupperware,STATE,136.56,136.896,Amanda
Cache,interacting with tupperware,STATE,137.097,172.604,Amanda
Cache,looking at owner,POINT,140.755,140.755,Amanda
Cache,looking at owner,POINT,146.528,146.528,Amanda
Cache,looking at owner,POINT,147.736,147.736,Amanda
Cache,alternating gaze,POINT,156.562,156.562,Amanda
Cache,alternating gaze,POINT,163.073,163.073,Amanda
Cache,alternating gaze,POINT,170.289,170.289,Amanda
Cache,interacting with tupperware,STATE,173.712,174.215,Amanda
Cache,looking at owner,POINT,180.122,180.122,Amanda
Cache,looking at owner,POINT,183.713,183.713,Amanda
Cache,looking at owner,POINT,217.879,217.879,Amanda
Cache,soundboard press,POINT,222.443,222.443,Amanda
Cache,looking at owner,POINT,223.148,223.148,Amanda
Cache,End,POINT,226.269,226.269,Amanda
Cache,Start,POINT,285.035,285.035,Amanda
Cache,interacting with tupperware,STATE,286.478,290.237,Amanda
Cache,interacting with tupperware,STATE,293.291,293.492,Amanda
