"","Observation id","Behavior","Behavior type","Start (s)","Stop (s)","coder"
"376","Waffle","bark/whine vocalization","POINT",1183.178,1183.178,"Chaewon"
"377","Waffle","bark/whine vocalization","POINT",1184.012,1184.012,"Chaewon"
"378","Waffle","bark/whine vocalization","POINT",1184.413,1184.413,"Chaewon"
"379","Waffle","interacting with tupperware","STATE",1261.315,1280.557,"Chaewon"
"380","Waffle","interacting with tupperware","STATE",1280.957,1289.462,"Chaewon"
"381","Waffle","nudging/scratching/paw owner","POINT",1297.632,1297.632,"Chaewon"
"382","Waffle","nudging/scratching/paw owner","POINT",1297.732,1297.732,"Chaewon"
"383","Waffle","nudging/scratching/paw owner","POINT",1298.165,1298.165,"Chaewon"
"384","Waffle","nudging/scratching/paw owner","POINT",1298.365,1298.365,"Chaewon"
"385","Waffle","nudging/scratching/paw owner","POINT",1298.532,1298.532,"Chaewon"
"386","Waffle","nudging/scratching/paw owner","POINT",1298.732,1298.732,"Chaewon"
"387","Waffle","nudging/scratching/paw owner","POINT",1298.932,1298.932,"Chaewon"
"388","Waffle","nudging/scratching/paw owner","POINT",1299.265,1299.265,"Chaewon"
"389","Waffle","nudging/scratching/paw owner","POINT",1299.565,1299.565,"Chaewon"
"390","Waffle","nudging/scratching/paw owner","POINT",1299.967,1299.967,"Chaewon"
"391","Waffle","nudging/scratching/paw owner","POINT",1300.2,1300.2,"Chaewon"
"392","Waffle","looking at owner","POINT",1345.287,1345.287,"Chaewon"
"393","Waffle","looking at owner","POINT",1386.405,1386.405,"Chaewon"
"394","Waffle","alternating gaze","POINT",24.012,24.012,"Chaewon"
"395","Waffle","alternating gaze","POINT",134.262,134.262,"Chaewon"
"396","Waffle","alternating gaze","POINT",396.283,396.283,"Chaewon"
"397","Waffle","alternating gaze","POINT",734.038,734.038,"Chaewon"
"398","Waffle","alternating gaze","POINT",41.887,41.887,"Chaewon"
"399","Waffle","alternating gaze","POINT",138.663,138.663,"Chaewon"
"400","Waffle","alternating gaze","POINT",442.603,442.603,"Chaewon"
"401","Waffle","alternating gaze","POINT",756.015,756.015,"Chaewon"
"402","Remi","interacting with tupperware","STATE",35.118,40.055,"Chaewon"
"403","Remi","interacting with tupperware","STATE",41.188,43.423,"Chaewon"
"404","Remi","interacting with tupperware","STATE",44.523,48.36,"Chaewon"
"405","Remi","interacting with tupperware","STATE",53.762,58.132,"Chaewon"
"406","Remi","interacting with tupperware","STATE",59.765,66.435,"Chaewon"
"407","Remi","interacting with tupperware","STATE",77.408,78.742,"Chaewon"
"408","Remi","interacting with tupperware","STATE",80.91,81.543,"Chaewon"
"409","Remi","interacting with tupperware","STATE",84.212,86.98,"Chaewon"
"410","Remi","looking at owner","POINT",97.152,97.152,"Chaewon"
"411","Remi","looking at owner","POINT",115.762,115.762,"Chaewon"
"412","Remi","looking at owner","POINT",144.812,144.812,"Chaewon"
"413","Remi","looking at owner","POINT",148.847,148.847,"Chaewon"
"414","Remi","looking at owner","POINT",198.273,198.273,"Chaewon"
"415","Remi","looking at owner","POINT",206.378,206.378,"Chaewon"
"416","Remi","interacting with tupperware","STATE",279.15,284.387,"Chaewon"
"417","Remi","interacting with tupperware","STATE",285.353,289.79,"Chaewon"
"418","Remi","interacting with tupperware","STATE",291.423,296.527,"Chaewon"
"419","Remi","interacting with tupperware","STATE",306.532,311.735,"Chaewon"
"420","Remi","interacting with tupperware","STATE",312.868,313.002,"Chaewon"
"421","Remi","interacting with tupperware","STATE",314.135,318.038,"Chaewon"
"422","Remi","interacting with tupperware","STATE",319.438,320.572,"Chaewon"
"423","Remi","interacting with tupperware","STATE",321.307,329.843,"Chaewon"
"424","Remi","interacting with tupperware","STATE",333.28,335.08,"Chaewon"
"425","Remi","interacting with tupperware","STATE",344.185,368.265,"Chaewon"
"426","Remi","interacting with tupperware","STATE",371.5,376.77,"Chaewon"
"427","Remi","bark/whine vocalization","POINT",381.438,381.438,"Chaewon"
"428","Remi","looking at owner","POINT",450.508,450.508,"Chaewon"
"429","Remi","interacting with tupperware","STATE",515.845,516.445,"Chaewon"
"430","Remi","interacting with tupperware","STATE",518.645,518.913,"Chaewon"
"431","Remi","interacting with tupperware","STATE",519.68,519.78,"Chaewon"
"432","Remi","interacting with tupperware","STATE",520.547,521.313,"Chaewon"
"433","Remi","interacting with tupperware","STATE",526.017,527.35,"Chaewon"
"434","Remi","interacting with tupperware","STATE",528.952,531.253,"Chaewon"
"435","Remi","interacting with tupperware","STATE",533.553,567.605,"Chaewon"
"436","Remi","interacting with tupperware","STATE",570.74,572.642,"Chaewon"
"437","Remi","interacting with tupperware","STATE",575.243,578.612,"Chaewon"
"438","Remi","interacting with tupperware","STATE",580.112,582.213,"Chaewon"
"439","Remi","interacting with tupperware","STATE",590.05,604.858,"Chaewon"
"440","Remi","looking at owner","POINT",605.425,605.425,"Chaewon"
"441","Remi","looking at owner","POINT",608.695,608.695,"Chaewon"
"442","Remi","looking at owner","POINT",625.503,625.503,"Chaewon"
"443","Remi","looking at owner","POINT",629.805,629.805,"Chaewon"
"444","Remi","looking at owner","POINT",635.742,635.742,"Chaewon"
"445","Remi","interacting with tupperware","STATE",749.872,750.172,"Chaewon"
"446","Remi","interacting with tupperware","STATE",750.472,750.705,"Chaewon"
"447","Remi","interacting with tupperware","STATE",751.205,754.64,"Chaewon"
"448","Remi","interacting with tupperware","STATE",759.51,780.49,"Chaewon"
"449","Remi","interacting with tupperware","STATE",782.892,789.162,"Chaewon"
"450","Remi","interacting with tupperware","STATE",790.995,793.998,"Chaewon"
"451","Remi","interacting with tupperware","STATE",795.732,797.367,"Chaewon"
"452","Remi","interacting with tupperware","STATE",799.033,800.902,"Chaewon"
"453","Remi","interacting with tupperware","STATE",802.837,803.137,"Chaewon"
"454","Remi","interacting with tupperware","STATE",806.605,811.442,"Chaewon"
"455","Remi","interacting with tupperware","STATE",818.045,828.352,"Chaewon"
"456","Remi","looking at owner","POINT",852.3,852.3,"Chaewon"
"457","Remi","interacting with tupperware","STATE",988.482,989.615,"Chaewon"
"458","Remi","interacting with tupperware","STATE",990.248,992.45,"Chaewon"
"459","Remi","interacting with tupperware","STATE",993.25,996.453,"Chaewon"
"460","Remi","interacting with tupperware","STATE",997.053,998.62,"Chaewon"
"461","Remi","interacting with tupperware","STATE",1000.455,1001.923,"Chaewon"
"462","Remi","interacting with tupperware","STATE",1008.427,1012.863,"Chaewon"
"463","Remi","interacting with tupperware","STATE",1014.163,1014.497,"Chaewon"
"464","Remi","interacting with tupperware","STATE",1015.898,1016.565,"Chaewon"
"465","Remi","interacting with tupperware","STATE",1017.965,1023.002,"Chaewon"
"466","Remi","interacting with tupperware","STATE",1023.837,1031.907,"Chaewon"
"467","Remi","interacting with tupperware","STATE",1033.908,1035.243,"Chaewon"
"468","Remi","looking at owner","POINT",1039.545,1039.545,"Chaewon"
"469","Remi","looking at owner","POINT",1060.958,1060.958,"Chaewon"
"470","Remi","looking at owner","POINT",1076.968,1076.968,"Chaewon"
"471","Remi","alternating gaze","POINT",44.523,44.523,"Chaewon"
"472","Remi","alternating gaze","POINT",122.8,122.8,"Chaewon"
"473","Remi","alternating gaze","POINT",202.542,202.542,"Chaewon"
"474","Remi","alternating gaze","POINT",297.027,297.027,"Chaewon"
"475","Remi","alternating gaze","POINT",436.402,436.402,"Chaewon"
"476","Remi","alternating gaze","POINT",1002.69,1002.69,"Chaewon"
"477","Remi","alternating gaze","POINT",51.362,51.362,"Chaewon"
"478","Remi","alternating gaze","POINT",139.108,139.108,"Chaewon"
"479","Remi","alternating gaze","POINT",204.61,204.61,"Chaewon"
"480","Remi","alternating gaze","POINT",300.595,300.595,"Chaewon"
"481","Remi","alternating gaze","POINT",443.872,443.872,"Chaewon"
"482","Remi","alternating gaze","POINT",1006.392,1006.392,"Chaewon"
"483","Dewey","interacting with tupperware","STATE",50.07,52.703,"Amanda"
"484","Dewey","alternating gaze","POINT",53.703,53.703,"Amanda"
"485","Dewey","interacting with tupperware","STATE",54.737,55.203,"Amanda"
"486","Dewey","alternating gaze","POINT",55.77,55.77,"Amanda"
"487","Dewey","looking at owner","POINT",56.803,56.803,"Amanda"
"488","Dewey","nudging/scratching/paw owner","POINT",64.603,64.603,"Amanda"
"489","Dewey","looking at owner","POINT",78.07,78.07,"Amanda"
"490","Dewey","looking at owner","POINT",82.205,82.205,"Amanda"
"491","Dewey","alternating gaze","POINT",82.605,82.605,"Amanda"
"492","Dewey","looking at owner","POINT",86.238,86.238,"Amanda"
"493","Dewey","bark/whine vocalization","POINT",97.472,97.472,"Amanda"
"494","Dewey","nudging/scratching/paw owner","POINT",113.107,113.107,"Amanda"
"495","Dewey","looking at owner","POINT",125.007,125.007,"Amanda"
"496","Dewey","looking at owner","POINT",128.873,128.873,"Amanda"
"497","Dewey","looking at owner","POINT",134.74,134.74,"Amanda"
"498","Dewey","alternating gaze","POINT",178.01,178.01,"Amanda"
"499","Dewey","looking at owner","POINT",199.043,199.043,"Amanda"
"500","Dewey","looking at owner","POINT",202.177,202.177,"Amanda"
"501","Dewey","alternating gaze","POINT",282.615,282.615,"Amanda"
"502","Dewey","alternating gaze","POINT",306.25,306.25,"Amanda"
"503","Dewey","interacting with tupperware","STATE",310.783,316.583,"Amanda"
"504","Dewey","looking at owner","POINT",320.05,320.05,"Amanda"
"505","Dewey","positioning in front of owner","POINT",321.55,321.55,"Amanda"
"506","Dewey","looking at owner","POINT",335.485,335.485,"Amanda"
"507","Dewey","alternating gaze","POINT",335.885,335.885,"Amanda"
"508","Dewey","looking at owner","POINT",338.918,338.918,"Amanda"
"509","Dewey","looking at owner","POINT",340.252,340.252,"Amanda"
"510","Dewey","alternating gaze","POINT",377.053,377.053,"Amanda"
"511","Dewey","alternating gaze","POINT",378.053,378.053,"Amanda"
"512","Dewey","looking at owner","POINT",384.92,384.92,"Amanda"
"513","Dewey","looking at owner","POINT",435.323,435.323,"Amanda"
"514","Dewey","alternating gaze","POINT",441.357,441.357,"Amanda"
"515","Dewey","looking at owner","POINT",460.558,460.558,"Amanda"
"516","Dewey","looking at owner","POINT",460.792,460.792,"Amanda"
"517","Dewey","interacting with tupperware","STATE",510.86,513.993,"Amanda"
"518","Dewey","alternating gaze","POINT",515.493,515.493,"Amanda"
"519","Dewey","alternating gaze","POINT",519.993,519.993,"Amanda"
"520","Dewey","interacting with tupperware","STATE",523.528,523.828,"Amanda"
"521","Dewey","bark/whine vocalization","POINT",524.195,524.195,"Amanda"
"522","Dewey","interacting with tupperware","STATE",524.995,525.728,"Amanda"
