"","Observation id","Behavior","Behavior type","Start (s)","Stop (s)","coder"
"219","Mokai","interacting with tupperware","STATE",27.803,27.937,"Chaewon"
"220","Mokai","looking at owner","POINT",28.905,28.905,"Chaewon"
"221","Mokai","looking at owner","POINT",29.938,29.938,"Chaewon"
"222","Mokai","positioning in front of owner","POINT",34.372,34.372,"Chaewon"
"223","Mokai","looking at owner","POINT",36.272,36.272,"Chaewon"
"224","Mokai","interacting with tupperware","STATE",47.073,47.573,"Chaewon"
"225","Mokai","interacting with tupperware","STATE",47.94,48.24,"Chaewon"
"226","Mokai","looking at owner","POINT",56.808,56.808,"Chaewon"
"227","Mokai","looking at owner","POINT",61.575,61.575,"Chaewon"
"228","Mokai","bark/whine vocalization","POINT",62.777,62.777,"Chaewon"
"229","Mokai","bark/whine vocalization","POINT",71.01,71.01,"Chaewon"
"230","Mokai","bark/whine vocalization","POINT",71.51,71.51,"Chaewon"
"231","Mokai","looking at owner","POINT",115.017,115.017,"Chaewon"
"232","Mokai","looking at owner","POINT",116.017,116.017,"Chaewon"
"233","Mokai","interacting with tupperware","STATE",271.607,273.64,"Chaewon"
"234","Mokai","looking at owner","POINT",274.373,274.373,"Chaewon"
"235","Mokai","positioning in front of owner","POINT",276.107,276.107,"Chaewon"
"236","Mokai","looking at owner","POINT",277.873,277.873,"Chaewon"
"237","Mokai","positioning in front of owner","POINT",280.342,280.342,"Chaewon"
"238","Mokai","looking at owner","POINT",286.542,286.542,"Chaewon"
"239","Mokai","looking at owner","POINT",287.642,287.642,"Chaewon"
"240","Mokai","looking at owner","POINT",290.61,290.61,"Chaewon"
"241","Mokai","bark/whine vocalization","POINT",290.643,290.643,"Chaewon"
"242","Mokai","bark/whine vocalization","POINT",291.277,291.277,"Chaewon"
"243","Mokai","looking at owner","POINT",377.055,377.055,"Chaewon"
"244","Mokai","looking at owner","POINT",382.123,382.123,"Chaewon"
"245","Mokai","bark/whine vocalization","POINT",412.393,412.393,"Chaewon"
"246","Mokai","bark/whine vocalization","POINT",413.96,413.96,"Chaewon"
"247","Mokai","looking at owner","POINT",449.4,449.4,"Chaewon"
"248","Mokai","interacting with tupperware","STATE",509.542,510.642,"Chaewon"
"249","Mokai","interacting with tupperware","STATE",512.275,514.542,"Chaewon"
"250","Mokai","positioning in front of owner","POINT",518.677,518.677,"Chaewon"
"251","Mokai","looking at owner","POINT",521.81,521.81,"Chaewon"
"252","Mokai","interacting with tupperware","STATE",527.143,528.845,"Chaewon"
"253","Mokai","interacting with tupperware","STATE",529.478,531.312,"Chaewon"
"254","Mokai","bark/whine vocalization","POINT",546.48,546.48,"Chaewon"
"255","Mokai","bark/whine vocalization","POINT",599.755,599.755,"Chaewon"
"256","Mokai","looking at owner","POINT",666.832,666.832,"Chaewon"
"257","Mokai","looking at owner","POINT",677.067,677.067,"Chaewon"
"258","Mokai","interacting with tupperware","STATE",735.842,737.408,"Chaewon"
"259","Mokai","interacting with tupperware","STATE",740.142,741.175,"Chaewon"
"260","Mokai","looking at owner","POINT",744.043,744.043,"Chaewon"
"261","Mokai","interacting with tupperware","STATE",914.202,914.968,"Chaewon"
"262","Mokai","interacting with tupperware","STATE",915.235,915.735,"Chaewon"
"263","Mokai","interacting with tupperware","STATE",971.91,972.077,"Chaewon"
"264","Mokai","interacting with tupperware","STATE",972.51,974.143,"Chaewon"
"265","Mokai","interacting with tupperware","STATE",974.51,974.71,"Chaewon"
